club,clubLabel,country,countryLabel
http://www.wikidata.org/entity/Q10282739,Q10282739,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q105416107,Q105416107,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q105440445,Q105440445,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q105942616,Q105942616,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q106987984,Q106987984,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q107860293,Q107860293,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q10895729,Q10895729,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q109302523,Q109302523,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q109331555,Q109331555,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q109423676,Q109423676,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q109978195,Q109978195,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q110408225,Q110408225,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q110408476,Q110408476,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q110408477,Q110408477,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q110412593,Q110412593,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q110586227,Q110586227,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q11106502,Q11106502,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q111135664,Q111135664,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q111370599,Q111370599,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q111721674,Q111721674,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q111748897,Q111748897,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q111805067,Q111805067,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q112187491,Q112187491,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q112333417,Q112333417,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q112841080,Q112841080,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q112841087,Q112841087,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q113866895,Q113866895,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q113994711,Q113994711,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q114300111,Q114300111,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q114397748,Q114397748,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q114554077,Q114554077,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q114771204,Q114771204,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q115145045,Q115145045,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q115584295,Q115584295,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q115903122,Q115903122,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q115917890,Q115917890,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q115942189,Q115942189,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q116685598,Q116685598,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q116810651,Q116810651,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q116869101,Q116869101,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q116875202,Q116875202,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q116876283,Q116876283,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q116876504,Q116876504,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q116876715,Q116876715,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q11704860,Q11704860,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q117198915,Q117198915,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q118384324,Q118384324,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q118500005,Q118500005,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q118592579,Q118592579,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q118602222,Q118602222,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q118868926,Q118868926,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q118973680,Q118973680,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q119133332,Q119133332,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q11913469,Q11913469,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q11913472,Q11913472,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q11914235,Q11914235,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q11914236,Q11914236,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q11914238,Q11914238,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q11914240,Q11914240,http://www.wikidata.org/entity/Q29,Испания
